date,value
2019-06-12,-0.709607
2019-06-13,-0.17206474
2019-06-14,-0.77223825
2019-06-17,-0.035732392
2019-06-18,0.27756214
2019-06-19,1.1396971
2019-06-20,2.6655505
2019-06-21,0.091777064
2019-06-24,0.13593927
2019-06-25,-0.96136445
2019-06-26,-0.19799687
2019-06-27,0.91650635
2019-06-28,-0.24887851
2019-07-01,2.5332763
2019-07-02,-0.0036438864
2019-07-03,-1.0220569
2019-07-04,-0.5020542
2019-07-05,0.4281088
2019-07-08,-2.1039724
2019-07-09,-0.26077157
2019-07-10,-0.1845315
2019-07-11,-0.070115596
2019-07-12,0.519121
2019-07-15,0.32726985
2019-07-16,-0.43853587
2019-07-17,-0.08604033
2019-07-18,-0.88316435
2019-07-19,0.90098536
2019-07-22,-0.6492279
2019-07-23,0.15956609
2019-07-24,0.66913646
2019-07-25,0.69430375
2019-07-26,0.13922195
2019-07-29,-0.13366051
2019-07-30,0.33665046
2019-07-31,-0.83934206
2019-08-01,-0.7753616
2019-08-02,-1.3472339
2019-08-05,-1.7406461
2019-08-06,-0.98866177
2019-08-07,-0.39949954
2019-08-08,1.143426
2019-08-09,-0.90299857
2019-08-12,1.5739251
2019-08-13,-0.8379185
2019-08-14,0.37039092
2019-08-15,0.24631819
2019-08-16,0.36459047
2019-08-19,1.9003452
2019-08-20,-0.113422595
2019-08-21,-0.17495966
2019-08-22,0.24246183
2019-08-23,0.60829526
2019-08-26,-1.3161069
2019-08-27,1.1733208
2019-08-28,-0.3696951
2019-08-29,-0.32493797
2019-08-30,0.18661371
2019-09-02,1.1086338
2019-09-03,0.08813318
2019-09-04,0.7146585
2019-09-05,0.8673724
2019-09-06,0.49197775
2019-09-09,0.5172406
2019-09-10,-0.34132484
2019-09-11,-0.6908511
2019-09-12,0.92433596
2019-09-16,-0.36337405
2019-09-17,-1.5316645
2019-09-18,0.39761916
2019-09-19,0.29150027
2019-09-20,0.22151215
2019-09-23,-1.0531096
2019-09-24,0.20415324
2019-09-25,-0.7218188
2019-09-26,-0.7214682
2019-09-27,0.2327519
2019-09-30,-0.91627276
2019-10-08,0.5064789
2019-10-09,0.09471979
2019-10-10,0.69370884
2019-10-11,0.8185996
2019-10-14,0.91142833
2019-10-15,-0.4174215
2019-10-16,-0.3414895
2019-10-17,0.023233758
2019-10-18,-1.3022537
2019-10-21,0.2295967
2019-10-22,0.31100515
2019-10-23,-0.60159177
2019-10-24,-0.043986913
2019-10-25,0.56709707
2019-10-28,0.6469545
2019-10-29,-0.4056665
2019-10-30,-0.46742135
2019-10-31,-0.13684227
2019-11-01,1.4705259
2019-11-04,0.5458605
2019-11-05,0.5187385
2019-11-06,-0.4336012
2019-11-07,0.122011766
2019-11-08,-0.45552295
2019-11-11,-1.6052593
2019-11-12,-0.018166313
2019-11-13,-0.11902122
2019-11-14,0.099872224
2019-11-15,-0.6907608
2019-11-18,0.67449075
2019-11-19,0.85748184
2019-11-20,-0.9188968
2019-11-21,-0.45093888
2019-11-22,-0.94175863
2019-11-25,0.6186214
2019-11-26,0.2746194
2019-11-27,-0.40157643
2019-11-28,-0.34057057
2019-11-29,-0.81040347
2019-12-02,0.1375753
2019-12-03,0.31474465
2019-12-04,-0.06373613
2019-12-05,0.64952534
2019-12-06,0.49446365
2019-12-09,-0.19283913
2019-12-10,0.07857196
2019-12-11,0.01964299
2019-12-12,-0.30212384
2019-12-13,1.7336718
2019-12-16,0.39960575
2019-12-17,1.1781013
2019-12-18,-0.23319808
2019-12-19,-0.15887555
2019-12-20,-0.2533935
2019-12-23,-1.147038
2019-12-24,0.5465723
2019-12-25,-0.081052564
2019-12-26,0.74986506
2019-12-27,-0.122043625
2019-12-30,1.2863024
2019-12-31,0.29199958
2020-01-02,1.1764122
2020-01-03,-0.19054444
2020-01-06,-0.37128332
2020-01-07,0.6331757
2020-01-08,-1.060679
2020-01-09,1.0936227
2020-01-10,-0.05973636
2020-01-13,0.8390393
2020-01-14,-0.3333253
2020-01-15,-0.52681774
2020-01-16,-0.41275775
2020-01-17,0.090395994
2020-01-20,0.6300417
2020-01-21,-1.5571027
2020-01-22,0.34731653
2020-01-23,-2.7957213
2020-02-03,-3.0
2020-02-04,2.3160563
2020-02-05,0.9752654
2020-02-06,1.6240578
2020-02-07,-0.032231927
2020-02-10,0.33433452
2020-02-11,0.7953233
2020-02-12,0.6864104
2020-02-13,-0.58267653
2020-02-14,0.591595
2020-02-17,1.9699825
2020-02-18,-0.46962044
2020-02-19,-0.17056149
2020-02-20,2.018936
2020-02-21,0.06955254
2020-02-24,-0.3920046
2020-02-25,-0.22812003
2020-02-26,-1.1330308
2020-02-27,0.22512418
2020-02-28,-3.0
2020-03-02,2.8973358
2020-03-03,0.44069776
2020-03-04,0.48164102
2020-03-05,1.9509132
2020-03-06,-1.47954
2020-03-09,-3.0
2020-03-10,1.8740623
2020-03-11,-1.2196926
2020-03-12,-1.7492406
2020-03-13,-1.2884697
2020-03-16,-3.0
2020-03-17,-0.46846247
2020-03-18,-1.798279
2020-03-19,-1.1902813
2020-03-20,1.5579897
2020-03-23,-3.0
2020-03-24,2.358901
2020-03-25,2.3601015
2020-03-26,-0.62022024
2020-03-27,0.25511453
2020-03-30,-0.8979152
2020-03-31,0.25774917
2020-03-20,1.5579897
2020-03-23,-3.0
2020-03-24,2.358901
2020-03-25,2.3601015
2020-03-26,-0.62022024
2020-03-27,0.25511453
2020-03-30,-0.8979152
2020-03-31,0.25774917
2020-04-01,-0.302246
2020-04-02,1.4073368
2020-04-03,-0.5429603
2020-04-07,2.0008867
2020-04-08,-0.44916475
2020-04-09,0.2594808
2020-04-10,-0.58966154
2020-04-13,-0.41083488
2020-04-14,1.6856852
2020-04-15,-0.69447905
2020-04-16,0.08338444
2020-04-17,0.8352786
2020-04-20,0.28982174
2020-04-21,-1.084513
2020-04-22,0.69894624
2020-04-23,-0.25793508
2020-04-24,-0.79717183
2020-04-27,0.57108086
2020-04-28,0.5805252
2020-04-29,0.3797078
2020-04-30,1.01521
2020-05-06,0.50489604
2020-05-07,-0.29156402
2020-05-08,0.8449354
2020-05-11,-0.111760005
2020-05-12,-0.033092435
2020-05-13,0.14597854
2020-05-14,-1.0008523
2020-05-15,-0.31595573
2020-05-18,0.19554815
2020-05-19,0.7229555
2020-05-20,-0.5080459
2020-05-21,-0.5196256
2020-05-22,-2.0775623
2020-05-25,0.08820754
2020-05-26,0.976689
2020-05-27,-0.6592937
2020-05-28,0.22095974
2020-05-29,0.2057149
2020-06-01,2.3696308
2020-06-02,0.2399972
2020-06-03,-0.032593127
2020-06-04,-0.06710912
2020-06-05,0.39228612
2020-06-08,0.42673838
2020-06-09,0.5212032
2020-06-10,-0.1956703
2020-06-11,-1.0010808
2020-06-12,0.12615494
2020-06-15,-1.1050801
2020-06-16,1.3081658
2020-06-17,0.032731235
2020-06-18,0.5598624
2020-06-19,1.1626546
2020-06-22,0.038149256
2020-06-23,0.39464456
2020-06-24,0.33738348
2020-06-29,-0.6646693
2020-06-30,1.1419387
2020-06-17,0.032731235
2020-06-18,0.5598624
2020-06-19,1.1626546
2020-06-22,0.038149256
2020-06-23,0.39464456
2020-06-24,0.33738348
2020-06-29,-0.6646693
2020-06-30,1.1419387
2020-07-01,1.759519
2020-07-02,1.8131044
2020-07-03,1.6869918
2020-07-06,3.0
2020-07-07,0.5005297
2020-07-08,1.4049146
2020-07-09,1.211948
2020-07-10,-1.6477696
2020-07-13,1.8373047
2020-07-14,-0.8840833
2020-07-15,-1.1879919
2020-07-16,-3.0
2020-07-17,0.52695054
2020-07-20,2.624671
2020-07-21,0.17007281
2020-07-22,0.41019747
2020-07-23,-0.07237841
2020-07-24,-3.0
2020-07-27,0.41775084
2020-07-28,0.74900454
2020-07-29,2.1261067
2020-07-30,-0.46973202
2020-07-31,0.7100691
2020-08-03,1.4132011
2020-08-04,0.049495235
2020-08-05,-0.0100074075
2020-08-06,-0.30199105
2020-08-07,-1.0604718
2020-08-10,0.2863372
2020-08-11,-0.84704417
2020-08-12,-0.684222
2020-08-13,-0.26318312
2020-08-14,1.2904669
2020-08-17,2.060591
2020-08-18,-0.08009644
2020-08-19,-1.3690494
2020-08-20,-1.1909399
2020-08-21,0.7215107
2020-08-24,0.66448337
2020-08-25,0.0799424
2020-08-26,-1.0790312
2020-08-27,0.44308805
2020-08-28,2.0925043
2020-08-31,-0.5504021
2020-09-01,0.44497904
2020-09-02,-0.0019016198
2020-09-03,-0.52730113
2020-09-04,-0.90160155
2020-09-07,-1.9184902
2020-09-08,0.4431624
2020-09-09,-2.1188083
2020-09-10,-0.085147955
2020-09-11,0.84677327
2020-09-14,0.42336008
2020-09-15,0.68281966
2020-09-16,-0.62598354
2020-09-17,-0.50594246
2020-09-18,1.9734033
2020-09-21,-0.8933842
2020-09-22,-1.0918326
2020-09-23,0.284085
2020-09-24,-1.744221
2020-09-25,0.10145514
2020-09-28,0.19741789
2020-09-29,0.15798318
2020-09-30,-0.119855165
2020-10-09,1.7867578
2020-10-12,2.6692476
2020-10-13,0.2620411
2020-10-14,-0.62551606
2020-10-15,-0.18947677
2020-10-16,-0.16550998
2020-10-19,-0.70742387
2020-10-20,0.6773379
2020-10-21,-0.046260357
2020-10-22,-0.31039962
2020-10-23,-1.1440847
2020-10-26,-0.5491007
2020-10-27,0.118410364
2020-10-28,0.68610233
2020-10-29,0.636214
2020-10-30,-1.4830245
2020-11-02,0.4495578
2020-11-03,1.036521
2020-11-04,0.63890177
2020-11-05,1.2884909
2020-11-06,-0.02332937
2020-11-09,1.7099706
2020-11-10,-0.5259041
2020-11-11,-0.91546
2020-11-12,0.030383425
2020-11-13,-0.9714409
2020-11-16,0.83387625
2020-11-17,-0.20493408
2020-11-18,-0.09109715
2020-11-19,0.62725836
2020-11-20,0.24227062
2020-11-23,1.0786434
2020-11-24,-0.5817576
2020-11-25,-1.1735544
2020-11-26,0.12696235
2020-11-27,1.0737566
2020-11-30,-0.40141708
2020-12-01,1.8852384
2020-12-02,-0.033570495
2020-12-03,-0.21174379
2020-12-04,0.12168243
2020-12-07,-0.80281293
2020-12-08,-0.25364846
2020-12-09,-1.2293973
2020-12-10,-0.07358419
2020-12-11,-0.9524406
2020-12-14,0.7895122
2020-12-15,0.15098225
2020-12-16,0.123605296
2020-12-17,1.1099405
2020-12-18,-0.3454043
2020-12-21,0.8010388
2020-12-22,-1.4835345
2020-12-23,0.7258026
2020-12-24,-0.16089404
2020-12-25,0.7141592
2020-12-28,0.3615415
2020-12-29,-0.4123381
2020-12-30,1.2163143
2020-12-31,1.6661165
2021-01-04,0.93060386
2021-01-05,1.670674
2021-01-06,0.7817039
2021-01-07,1.5445721
2021-01-08,-0.32897493
2021-01-11,-0.9145038
2021-01-12,2.5074291
2021-01-13,-0.32709455
2021-01-14,-1.752109
2021-01-15,-0.23599209
2021-01-18,0.9524354
2021-01-19,-1.3423896
2021-01-20,0.60332346
2021-01-21,1.4063382
2021-01-22,0.04258991
2021-01-25,0.86397284
2021-01-26,-1.8236535
2021-01-27,0.20865764
2021-01-28,-2.4664168
2021-01-29,-0.4516666
2021-02-01,1.0593297
2021-02-02,1.3381985
2021-02-03,-0.29181367
2021-02-04,-0.21722023
2021-02-05,0.119727686
2021-02-08,1.2844326
2021-02-09,1.914453
2021-02-10,1.8693242
2021-02-18,-0.6380094
2021-02-19,0.12721731
